SNP,Chromosome,Position,Pvals
BUD23,7,73683627,0.204707064
KRT36,17,41486419,0.204833187
PLA2G4D,15,42068725,0.20485109
ICAM3,19,10333882,0.205031072
PRMT3,11,20387754,0.205317489
LAD1,1,201382265,0.205389094
IFITM1,11,314177,0.205394393
FZD10,12,130163003,0.205423118
CUL4A,13,113209630,0.205486203
RASGRP3,2,33515158,0.205510951
HOXA7,7,27154920,0.205543775
DLG2,11,83459847,0.205655502
FAP,2,162170994,0.205774473
OR4C46,11,54603089,0.205798665
TRERF1,6,42228356,0.205808668
ACSL3,2,222908773,0.2060156
USP3,15,63532653,0.20615257
AGXT2,5,34998771,0.206176464
AHR,7,17299271,0.206188535
ZNF730,19,23134100,0.206198163
RALGAPA1,14,35539570,0.206242924
CYP1A2,15,74749746,0.206260336
FOXD4L5,9,65283138,0.206266985
MLLT10,10,21534734,0.206278119
OSBPL10,3,31662083,0.206355673
SYK,9,90843911,0.206484242
RHPN2,19,32980046,0.206499331
BRAP,12,111644218,0.20660517
WDR92,2,68131314,0.206612022
SCML4,6,107705250,0.206647289
PRR23B,3,139019887,0.206693183
VTA1,6,142147295,0.206701489
TMEM79,1,156285254,0.206724145
PPP1R3D,20,59939070,0.206830549
FIP1L1,4,53377890,0.206833714
LRRC40,1,70145813,0.207215295
TCERG1,5,146447359,0.207333347
RNF216,7,5622876,0.207339385
PHYKPL,5,178211920,0.20735029
RPTOR,17,80545757,0.207471671
AXIN2,17,65529986,0.207491626
MAP3K20,2,173169829,0.207503973
MPI,15,74890078,0.207520317
SSB,2,169800995,0.207857662
LOC643802,16,53370157,0.207867922
TGFB1I1,16,31473486,0.208005942
ADRA1A,8,26756545,0.208008075
LARP4B,10,812931,0.208179767
ZBTB40,1,22489961,0.20835883
STBD1,4,76306813,0.208400562
NAPB,20,23377398,0.20845642
SPI1,11,47355246,0.208472953
EPAS1,2,46346878,0.208543658
CLCN1,7,143316226,0.208718757
CDC37,19,10391627,0.208851508
KRT73,12,52608203,0.209010783
ARID5B,10,61901713,0.209094533
ROR2,9,91723675,0.209361689
ZNF831,20,59191021,0.209442766
ATL3,11,63629375,0.20951017
MSLN,16,762694,0.209597966
HAT1,2,171925540,0.209632479
ASAH2,10,50187409,0.209688355
NEBL,10,20785895,0.209691785
DNAH6,2,84517830,0.209745811
KPNA1,3,122426999,0.209795232
KIAA0100,17,28615089,0.20986558
TRIM66,11,8617972,0.20986654
MRPL27,17,50368117,0.209895882
TNPO3,7,128957281,0.209928464
FST,5,53480795,0.209946645
GMFG,19,39328477,0.209962917
CDH19,18,66504877,0.210003634
SAA2;SAA2-SAA4,11,18245918,0.210101264
ARHGEF15,17,8312055,0.210252529
KRT84,12,52378040,0.210254175
TMEM127,2,96253834,0.210678671
RNPEPL1,2,240568596,0.210707932
LAP3,4,17577468,0.210744298
HARS2,5,140691655,0.210827556
LIMS1,2,108534584,0.210839821
MEX3D,19,1555335,0.210914308
TIFAB,5,135449596,0.211084987
CFI,4,109740936,0.211093128
LALBA,12,48568013,0.211132012
BTBD2,19,1986597,0.211148566
C9orf78,9,129828238,0.211150807
OR2G3,1,247605650,0.211328706
GAL3ST2,2,241776969,0.211417498
HMOX1,22,35383119,0.211440723
MLIP,6,54019044,0.211461674
SMPD2,6,109441123,0.211523836
PIK3C2A,11,17089793,0.211613753
SPATS2L,2,200412338,0.211617658
BCR,22,23180977,0.211623573
ITGAX,16,31355267,0.211632052
JMJD7,15,41836787,0.211679688
RHBDF2,17,76471673,0.211695926
CD200R1,3,112923726,0.211891941
SCN7A,2,166405674,0.212005516
LRRC4C,11,40114410,0.212021557
PLD3,19,40366623,0.212120943
TBRG4,7,45100350,0.212173256
WASF2,1,27408335,0.212259283
ADRA2A,10,111078085,0.212388242
MROH7,1,54653033,0.212500774
CBWD1,9,121475,0.212519441
WDR35,2,19913614,0.212577392
TPTE2,13,19423070,0.212796799
NAA38,17,7856756,0.212818884
PLCL2,3,17009800,0.212882983
MYH14,19,50210394,0.212920414
SKIL,3,170360357,0.213295614
GSTT2;GSTT2B,22,23958308,0.213354352
SLC10A2,13,103046141,0.213430802
STXBP4,17,54986233,0.213574065
FAM184A,6,118960120,0.213797358
ABCA9,17,68982597,0.213966932
BTBD10,11,13388986,0.21407411
PPIL2,22,21666109,0.214115281
C8orf76;ZHX1-C8orf76,8,123226532,0.21418151
KRTAP9-8,17,41238166,0.21419699
TPM1,15,63043743,0.21426117
SYNDIG1,20,24543113,0.214342827
PI4K2A,10,97640746,0.214624137
C1orf116,1,207022007,0.214647305
PAQR9,3,142962355,0.214657796
NUDT16L1,16,4693733,0.21468363
CD177,19,43353722,0.214798468
GAS8,16,90027717,0.214807545
C18orf25,18,46215915,0.214823001
PDE8A,15,84982216,0.215071335
FAM53C,5,138341264,0.215078442
NUFIP1,13,44941250,0.215135797
ZNF592,15,84782743,0.21516502
BST2,19,17403747,0.215337893
NDRG2,14,21017624,0.215338231
SREBF2,22,41833293,0.215409084
C17orf80,17,73235597,0.215512683
ANGPTL4,19,8364338,0.215531482
GEMIN6,2,38779012,0.215629899
TBL2,7,73570599,0.215802325
TCP11L1,11,33043799,0.215952758
FLCN,17,17213671,0.215980777
CCR9,3,45900826,0.215986829
EXOSC1,10,97436479,0.216099366
CLEC4F,2,70809285,0.216142187
ZNF638,2,71349049,0.21620042
VAPA,18,9914270,0.216333618
MROH9,1,170958462,0.216346045
STRIP2,7,129434473,0.216400163
MPRIP,17,17042853,0.216441335
ABHD1,2,27123971,0.216641748
ADH1C,4,99336759,0.216746376
ADCY1,7,45574583,0.216826546
PATJ,1,61762904,0.216841034
NUP93,16,56748339,0.2168594
FAM193A,4,2631024,0.216896769
PMVK,1,154925130,0.216945883
OTOA,16,21678558,0.216970516
SOS1,2,38985870,0.217080871
ZNF366,5,72443760,0.217163142
CLDN6,16,3015364,0.217219836
ZNF256,19,57940934,0.217345604
ACAD10,12,111692710,0.217385019
BRICD5,16,2209390,0.21744165
ZCCHC2,18,62523455,0.217445756
APBA1,9,69516024,0.21758988
PCCB,3,136250380,0.217677499
AMIGO1,1,109507447,0.217685543
PAX9,14,36662969,0.217947777
CSNK2A3,11,11351961,0.218040604
DDX28,16,68021597,0.218076139
KDF1,1,26950100,0.218092499
ZMPSTE24,1,40258312,0.218141976
CFHR3,1,196774905,0.21826196
ZDHHC3,3,44917924,0.218274031
DNAJC15,13,43023633,0.218367474
MAGEF1,3,184710933,0.218538627
GRIFIN,7,2475150,0.218563472
NXNL1,19,17455655,0.218622708
OBP2A,9,135546220,0.218710872
RFTN2,2,197572015,0.218712143
TNK2,3,195864186,0.218819827
CYP4F12,19,15673560,0.218874947
CPA4,7,130293200,0.21892211
SLC25A21,14,36680717,0.219007466
WNT2,7,117278181,0.219052625
SDSL,12,113428044,0.219148173
TNNT2,1,201359244,0.219187106
MIPEP,13,23730374,0.219378614
WFDC8,20,45552030,0.219379071
COL9A1,6,70217045,0.219422449
PIK3AP1,10,96595581,0.219428984
PPIP5K2,5,103129615,0.219489896
SERHL2,22,42554023,0.219648177
IL36G,2,112978678,0.219699947
ZNF480,19,52300482,0.219809397
C9orf72,9,27548280,0.219826369
TRAPPC10,21,44012512,0.219956228
OLFML3,1,113979578,0.219960679
FBXW2,9,120764726,0.220024194
CASP1,11,105026275,0.220024776
CLCA2,1,86424347,0.220033508
SPCS1,3,52706064,0.220057236
HBEGF,5,140334720,0.220121374
ELAVL3,19,11454538,0.220227961
FAM20A,17,68537530,0.220362944
MIEF1,22,39511313,0.220617188
TMEM114,16,8569775,0.220687236
EML5,14,88615831,0.220758502
TMEM102,17,7435945,0.220805226
STPG3,9,137251311,0.220816648
ZNF716,7,57450308,0.220866716
REXO4,9,133407008,0.221289835
DGKE,17,56834814,0.221485449
TTC23,15,99138032,0.221723219
LCORL,4,17845738,0.221739445
KCTD20,6,36470137,0.221835243
CGB2,19,49032096,0.221891435
NFIB,9,14113045,0.222064314
PARM1,4,74933331,0.222143874
EVA1B,1,36322311,0.222159854
TBC1D26,17,15735362,0.22226264
PCDHGB6,5,141408240,0.222263858
RBM12B,8,93733420,0.222283071
SOX21,13,94711270,0.222342931
WFIKKN2,17,50835940,0.222377918
ZNF253,19,19891497,0.222447783
DCP1B,12,1946213,0.222452903
SNX2,5,122775117,0.222797913
BRF2,8,37844569,0.222834707
HNRNPUL1,19,41264552,0.223000386
SLC38A1,12,46188981,0.22328579
OSMR,5,38869108,0.223380955
GOLGA7B,10,97850311,0.223384714
RARRES1,3,158697743,0.223484565
PIBF1,13,72783495,0.223588195
NRXN1,2,49921971,0.223675718
SFT2D2,1,168226097,0.223956767
PDF,16,69329051,0.223976342
PRR5,22,44679854,0.22403707
OR1L6,9,122749956,0.224168581
ZNF862,7,149838612,0.224205564
GAB4,22,16962765,0.224379965
ZNF780A,19,40074560,0.22445024
RTP3,3,46498213,0.224593348
TSKS,19,49739781,0.224628828
KCNK17,6,39299444,0.224646308
TRIM38,6,25966579,0.224761914
RPGRIP1,14,21287984,0.224896641
LRRC19,9,26995580,0.224910248
ZNF34,8,144773297,0.224996965
DPPA4,3,109328913,0.225051797
GABRA6,5,161686939,0.225119907
SGCA,17,50167386,0.225175357
IKZF5,10,122993824,0.225267063
POTEF,2,130074251,0.225286493
BAZ1B,7,73442231,0.22530742
ANXA4,2,69781573,0.225393529
MGMT,10,129467204,0.225496765
GDF1,19,18868614,0.225550088
VPS16,20,2859786,0.225555215
ZNF302,19,34682861,0.225561741
ENSA,1,150625684,0.225611424
SAMSN1,21,14486114,0.225667428
RNASEH2B,13,50910078,0.225745974
REM1,20,31476452,0.225776436
C7orf72,7,50096097,0.225874224
CCDC61,19,46003040,0.22595387
IL1A,2,112775075,0.226132155
DYNC1LI2,16,66723775,0.226227838
HAUS5,19,35612805,0.226270812
AP1G2,14,23559766,0.226292226
THOC1,18,214640,0.226294009
KRT6B,12,52447254,0.226296306
RETN,19,7669378,0.226343184
TUBGCP6,22,50217755,0.22657829
TUBB8,10,47074,0.226611614
YIF1B,19,38305428,0.226664203
G3BP2,4,75645435,0.226770074
PLAT,8,42176001,0.226861389
FSTL5,4,161385907,0.227025739
SLC6A13,12,220997,0.22711305
LPIN3,20,41345813,0.227299256
ZNF710,15,90067177,0.22731948
ITLN2,1,160945156,0.227389662
ESPNL,2,238100433,0.227400094
RIMKLA,1,42381028,0.227437208
OR10Q1,11,58227924,0.227515497
RYR1,19,38440748,0.227610103
KBTBD7,13,41192244,0.22766818
RAB37,17,74671653,0.227676726
EN2,7,155458405,0.227693511
CCNDBP1,15,43185508,0.227705794
FSTL4,5,133199130,0.227732274
XBP1,22,28795239,0.227734181
ABCA12,2,214932667,0.227736001
POFUT2,21,45265555,0.227781095
PROB1,5,139392053,0.227923197
GNA15,19,3136473,0.22794251
ZNF92,7,65374000,0.227978367
PABPN1L,16,88863744,0.22801528
AARS,16,70252758,0.228212227
C4BPA,1,207113035,0.228225865
GRN,17,44349211,0.228231285
NXPH2,2,138670987,0.228244387
TMEM231,16,75540005,0.22842851
FAM13C,10,59247700,0.22843013
PCDH9,13,66304675,0.228655343
POTEB;POTEB2,15,20858116,0.228696875
ELL,19,18444758,0.228750987
FGL2,7,77196305,0.228836599
CELSR2,1,109250123,0.22888645
ZNF543,19,57323799,0.228935882
MADCAM1,19,496508,0.228990855
IDE,10,92454472,0.229037371
GSPT1,16,11875823,0.229039942
BMP5,6,55755540,0.229229133
GNPAT,1,231241392,0.229233802
ZXDC,3,126438412,0.229265287
RAB3GAP2,1,220151264,0.229320768
ACYP1,14,75053477,0.229331584
TNFRSF10C,8,23103116,0.229465313
ANKRD55,5,56100248,0.229592684
FER1L5,2,96646442,0.229785993
HEXDC,17,82419825,0.229813501
CHMP7,8,23246706,0.229817887
PCDHGB1,5,141350282,0.229823097
ULK4,3,41246940,0.229864129
FUCA2,6,143495726,0.230207656
SPHKAP,2,227981761,0.230399978
DPEP3,16,67975850,0.230422699
OR6K2,1,158699685,0.230466617
FLT3,13,28004063,0.230505976
F12,5,177402294,0.230524416
C3orf56,3,127196688,0.23053554
IL7R,5,35857053,0.230545301
MYF6,12,80707798,0.230585009
GNAO1,16,56275965,0.230605358
STOML2,9,35100042,0.230754979
STARD5,15,81313302,0.230887536
CDKN2B,9,22005992,0.230908573
USPL1,13,30621160,0.230916842
MAMDC2,9,70140162,0.231134521
KRTAP10-1,21,44539302,0.23115684
MAP1LC3B,16,87392428,0.231217853
DENND5B,12,31387653,0.231336503
HEBP2,6,138404520,0.231480419
PLXND1,3,129556332,0.231600469
TMEM221,19,17436465,0.231762696
ARSA,22,50625219,0.231828851
TRAT1,3,108830713,0.231857993
CPTP,1,1326911,0.231862548
AASS,7,122076508,0.231893539
MRI1,19,13764592,0.231971032
NASP,1,45584162,0.231976014
ETS2,21,38805350,0.232013328
PF4V1,4,73853364,0.23228927
CREG2,2,101350928,0.23243144
CSNK1G2,19,1969774,0.232528592
PAQR5,15,69360100,0.232566984
NRG1,8,31639992,0.232607581
CLPS,6,35795159,0.232663541
LCE2D,1,152664140,0.232677342
PRKD3,2,37253204,0.232753398
DENND4A,15,65661928,0.23285495
ARL5A,2,151803292,0.2328889
CHD9,16,53156115,0.232901376
UPF3A,13,114281664,0.23294849
DAG1,3,49510575,0.233015578
ZNF701,19,52572306,0.233169471
PATE4,11,125833367,0.233229404
PAX3,2,222201212,0.233270528
MSANTD4,11,106009551,0.23327923
MGP,12,14882155,0.233297471
TYW1,7,66998071,0.233462543
FAT1,4,186588632,0.233474025
DUSP26,8,33592032,0.233566505
CD274,9,5457091,0.233582901
C15orf62,15,40770508,0.233806374
PIGT,20,45416164,0.233810249
CELF3,1,151705093,0.23426961
GYG1,3,148994157,0.234386195
STEAP2,7,90225086,0.234415238
PARP9,3,122528422,0.234546728
ERLIN1,10,100152141,0.234640271
FOXC2,16,86567355,0.234711865
DNM2,19,10718244,0.234729631
KLRB1,12,9598158,0.23500252
LMTK3,19,48491111,0.235026455
CSRP1,1,201485303,0.235250198
LRRC37A3,17,64854627,0.23540107
ESYT3,3,138434813,0.235607248
SLC2A9,4,9826447,0.235611494
BIRC3,11,102324516,0.235680799
PEMT,17,17505796,0.235727751
CWC22,2,179945163,0.235928927
TRIM16,17,15628665,0.236107339
DGAT1,8,144316567,0.236115768
ESAM,11,124753693,0.23615566
LOR,1,153260993,0.236172797
ASIC1,12,50058770,0.236200165
CPAMD8,19,16893128,0.236273829
OTX2,14,56801818,0.236324177
NPAS2,2,100904761,0.236362503
POU2F3,11,120236674,0.236375214
ZNF329,19,58127909,0.23638678
FKBP11,12,48922006,0.236478111
PCDHA5,5,140821777,0.236744059
POLH,6,43582332,0.236766936
THG1L,5,157731441,0.236878431
KIAA1549L,11,33542482,0.236902922
PSAP,10,71818637,0.236911773
TBC1D14,4,6923426,0.23703991
ELOA,1,23743432,0.237173415
KDM3B,5,138352864,0.237220549
MYH8,17,10390468,0.237385199
DAPK2,15,63908527,0.23741335
OR10G4,11,124015593,0.237703516
PHOX2A,11,72239759,0.237808927
MKL1,22,40411391,0.237848066
TPRN,9,137192119,0.237923149
CTCFL,20,57498565,0.237941719
AAGAB,15,67202855,0.238005303
KBTBD13,15,65076817,0.238071318
BCAS1,20,53944951,0.238074606
WDR6,3,49007343,0.238273843
ABRAXAS1,4,83462485,0.238368248
SLC26A8,6,35943905,0.238419303
TTC29,4,146707167,0.238443696
DOK7,4,3463406,0.238465696
ACVR2A,2,147896382,0.238579667
UNC13A,19,17606073,0.23863486
AJUBA,14,22973450,0.238665504
NOTCH3,19,15160723,0.238689184
TNFAIP8L3,15,51057903,0.238743306
TMPRSS5,11,113688267,0.238793917
INPP5J,22,31123015,0.238796947
SUGT1,13,52652928,0.239081904
WNT5B,12,1631382,0.239160156
TPGS1,19,507522,0.239329158
PPARA,22,46198496,0.239337338
DTX2,7,76480541,0.239395095
CKMT1B,15,43596422,0.239396343
MYO15A,17,18118818,0.23942715
TMED6,16,69343447,0.239453942
TRPM4,19,49166126,0.239460256
GLYATL2,11,58834448,0.239463139
ZNF696,8,143293042,0.239491816
CXCL6,4,73836761,0.239518817
POTEE,2,131218415,0.239525759
TAGLN2,1,159918841,0.239550637
MRPL40,22,19432565,0.239614175
EPYC,12,90964161,0.239684094
PLEKHH1,14,67541959,0.239932449
TMEM108,3,133379778,0.240035573
N4BP1,16,48542908,0.24003673
CLMN,14,95191581,0.240048358
ZNF575,19,43534424,0.240230074
RBBP8NL,20,62410895,0.240270922
KLHL17,1,960728,0.2403081
RNF20,9,101535470,0.240416521
KCNB1,20,49373006,0.24049236
SOWAHC,2,109614500,0.240531859
SNX29,16,12003007,0.24058223
SGCB,4,52023971,0.240618379
ARHGAP26,5,142770764,0.240665947
MAP3K6,1,27355391,0.240757674
NPRL3,16,86767,0.240904195
APC2,19,1453003,0.240937969
CLU,8,27598470,0.240992607
MEIOC,17,44656653,0.241035516
AIRE,21,44286019,0.241119443
CHRNG,2,232539749,0.241133244
AXIN1,16,288127,0.24140752
PXDN,2,1634230,0.241565809
LTBR,12,6375557,0.241852977
GDNF,5,37815654,0.241948344
PCK1,20,57561418,0.241948356
BICDL2,16,3028144,0.241968981
CCT6B,17,34928049,0.242000026
PARP1,1,226361468,0.24203622
FBXW12,3,48372804,0.242051572
IFNA6,9,21350323,0.242062023
TSHR,14,80955780,0.242220525
TRIOBP,22,37701372,0.242255904
NECTIN3,3,111072028,0.242266403
VTI1B,14,67651395,0.242334086
SYCE3,22,50551313,0.242487585
SH3GL3,15,83559262,0.242492149
COMTD1,10,75234155,0.242710799
TRAPPC6A,19,45163193,0.242783144
TLE2,19,2997915,0.242786728
CD81,11,2377560,0.242879118
MTMR2,11,95835322,0.242949333
NCKAP1L,12,54497791,0.242976618
MARCKS,6,113857765,0.243126067
ZNF7,8,144829421,0.243211407
EGR4,2,73291458,0.243420363
WDR48,3,39052033,0.243551442
PGAM5,12,132710887,0.243593457
GPR18,13,99254911,0.243642163
CALML5,10,5499026,0.243711426
CFAP126,1,161364967,0.243781526
CLEC14A,14,38254621,0.243819169
GAS1,9,86945764,0.243874384
TRIM56,7,101087317,0.243890901
SPOPL,2,138550224,0.243941263
OVCA2,17,2042057,0.244065002
PLBD2,12,113358614,0.244110179
ADGRA1,10,133096998,0.244140139
FIBIN,11,26994548,0.244176384
FGFRL1,4,1012502,0.244238831
LRRC14,8,144519738,0.244265795
FARS2,6,5368598,0.244336468
ZSCAN2,15,84603952,0.244425026
HS3ST3A1,17,13496203,0.244485046
FCRLB,1,161723393,0.244562059
FOXN3,14,89162443,0.244562207
DDX6,11,118754737,0.244621794
MRPL37,1,54200295,0.24464635
FIBCD1,9,130904077,0.244716865
MED31,17,6644469,0.244730508
KIAA1468,18,62187536,0.244858336
SIX5,19,45765530,0.244879586
RAD54B,8,94372207,0.244893203
TCP1,6,159779061,0.245000171
FUT8,14,65561583,0.24535067
MUC1,1,155187236,0.24542601
PIRT,17,10825242,0.245442426
RPL18,19,48615389,0.245448919
EIF4EBP2,10,70404402,0.245456427
CCDC158,4,76313183,0.245590193
INSIG1,7,155298286,0.24562634
MSX1,4,4859907,0.245675752
YOD1,1,207049030,0.245748249
PTPRA,20,2964282,0.2457635
C11orf1,11,111879565,0.245793901
TMEM81,1,205083565,0.24594677
ZSCAN31,6,28326171,0.246055619
ABHD17A,19,1877292,0.246202841
OR5K4,3,98353857,0.246359828
ECD,10,73134586,0.246360137
TFRC,3,196051951,0.246440483
PAPD4,5,79619674,0.24649346
TDRD6,6,46688139,0.246574063
SASH1,6,148343087,0.246700899
GDF7,2,20667255,0.246715615
S100A10,1,151983191,0.246758078
LOC100996842,17,7582242,0.246888345
FGG,4,154604345,0.24692056
LAMP1,13,113306497,0.24696231
NACC1,19,13135487,0.246987425
MS4A6A,11,60173059,0.246990677
NSUN5,7,73303399,0.247310121
KCP,7,128877077,0.247494004
TOM1,22,35317878,0.247746292
HYAL1,3,50300493,0.247827347
SPP1,4,87976897,0.247837736
MRPS12,19,38931307,0.247871186
DNAJA4,15,78264371,0.247889983
SBK3,19,55540876,0.247928252
ABL1,9,130714335,0.24795571
SLAIN2,4,48341746,0.248055266
YJEFN3,19,19528939,0.24812309
DUSP19,2,183079029,0.248227854
ZBP1,20,57604589,0.248272806
PRPSAP1,17,76311591,0.248366648
PICK1,22,38057849,0.248460691
SYNGR1,22,39350017,0.248517353
USH1C,11,17494336,0.248581643
IL17F,6,52236935,0.248619247
KDM6B,17,7845567,0.248722316
TCEA3,1,23384353,0.248784076
PTPN9,15,75468828,0.248788159
BPIFB6,20,33031655,0.248892108
GP1BB,22,19723865,0.249031627
CDCA2,8,25460255,0.249088707
MIS18A,21,32269076,0.249145585
KATNB1,16,57741694,0.249179074
MRPS2,9,135500735,0.249218749
FAM131C,1,16058454,0.249259377
TNS2,12,53049169,0.249363416
SLITRK6,13,85794003,0.249395198
MRPS34,16,1772236,0.249536073
OR8K5,11,56159435,0.249623072
OR10Z1,1,158606440,0.249653488
MAF,16,79594491,0.24981839
PHOSPHO1,17,49224304,0.250011277
ZSCAN29,15,43361083,0.25028524
KIF5B,10,32015555,0.250493516
ERCC8,5,60874668,0.250521545
VSTM2L,20,37903363,0.250537081
TSSK6,19,19514626,0.250607024
ARHGAP44,17,12789855,0.250651088
NCBP1,9,97641648,0.250687855
GXYLT2,3,72888234,0.25076125
R3HDM2,12,57254811,0.250883791
SLC2A1,1,42927075,0.250886745
NRIP3,11,8983926,0.250918514
CCDC97,19,41310317,0.250955456
FTCD,21,46136467,0.250959766
FAM83G,17,18971361,0.25096191
RPN1,3,128620511,0.251007327
PGRMC2,4,128271377,0.25110497
CEP55,10,93500085,0.251157234
NRG3,10,81875387,0.251206388
MEX3B,15,82043198,0.251422858
LPAR2,19,19624258,0.251438673
OR6N2,1,158776780,0.251527978
TMEM206,1,212365231,0.251560595
APBA3,19,3751037,0.251593877
INTS12,4,105682749,0.251658648
HNRNPCL1,1,12847438,0.25171796
SPDEF,6,34538366,0.251754481
POC1B-GALNT4,12,89525903,0.251771484
DIABLO,12,122208451,0.251799537
ADSSL1,14,104724301,0.251913775
OR6S1,14,20640778,0.2519374
ATP13A1,19,19645444,0.251953539
BBC3,19,47221708,0.252006699
ACO1,9,32405572,0.252042585
ZIK1,19,57584378,0.252065986
KLB,4,39406989,0.25206745
MKL2,16,14140610,0.252084061
PAPOLG,2,60760157,0.252261151
TMEM82,1,15742609,0.252483681
RDH10,8,73295351,0.252530117
EXOC5,14,57208662,0.25255391
ATG4C,1,62803816,0.252571451
TSR1,17,2324200,0.252579228
MSANTD1,4,3249229,0.252594256
CSNK1D,17,82244783,0.252689355
GREM2,1,240492973,0.252729889
PCF11,11,83157443,0.252789272
NUTM1,15,34343676,0.252806715
CAST,5,96662424,0.252827095
TBC1D2B,15,77998254,0.253246314
C4orf22,4,80335857,0.25330492
MAP2K3,17,21298439,0.253424428
TUBB6,18,12308317,0.253444259
CIDEB,14,24305637,0.253491739
CREB3L3,19,4153747,0.253577499
LMO7DN,13,75871140,0.254032569
MYPN,10,68121473,0.254182827
GPR150,5,95620278,0.254256657
TRPC1,3,142724560,0.254442553
RIOX1,14,73491022,0.254517262
WDR59,16,74874284,0.254577009
SCN11A,3,38846711,0.254605975
ZSCAN4,19,57676158,0.25467418
SV2A,1,149905030,0.254698719
BICC1,10,58513163,0.254804256
SRC,20,37384320,0.254851092
YTHDF2,1,28737136,0.254862408
PPP1R14D,15,40815651,0.254938956
CORO2A,9,98124797,0.255117267
RABEPK,9,125207578,0.255205758
ANO8,19,17323540,0.25521777
OAZ1,19,2269680,0.255336665
CST6,11,66012064,0.255385567
INTS7,1,211941832,0.255468915
DCTN1,2,74361512,0.255522089
ZNF626,19,20624319,0.255688232
OR2L5,1,248021960,0.255769696
SUPV3L1,10,69180296,0.255783489
SLC35A5,3,112563404,0.255851987
NEU3,11,74989089,0.256125358
IMMT,2,86144270,0.256127912
TULP1,6,35498359,0.256197855
COPA,1,160290566,0.256212005
TAF12,1,28605389,0.256236141
COBL,7,51017564,0.256243978
EFNA1,1,155127987,0.256264618
CMKLR1,12,108291851,0.256366308
SETD4,21,36036131,0.256430596
ABCC10,6,43427979,0.256475519
TRMU,22,46335765,0.256539525
EHD4,15,41900676,0.256543947
LRRC66,4,51994394,0.256565983
POU2F2,19,42091565,0.256611616
RTBDN,19,12825747,0.256699684
OR1L8,9,122567676,0.256774674
WDR41,5,77433149,0.257010802
COPS6,7,100088992,0.257061342
OAF,11,120211313,0.257147255
ATPAF1,1,46635868,0.257295265
RMI1,9,84001041,0.257339334
SLC6A20,3,45758995,0.257363588
IGSF9B,11,133909085,0.257412395
CNTNAP1,17,42683844,0.257448019
PMP22,17,15230924,0.257676844
IQSEC1,3,12899409,0.257685422
LYSMD2,15,51724824,0.257710973
EFCC1,3,129001671,0.257714768
NSMCE2,8,125102353,0.257805247
FUT9,6,96203206,0.257915427
SLC25A15,13,40793242,0.257948843
NPRL2,3,50347626,0.257984207
SMG8,17,59210059,0.257984922
BCL2L13,22,17638712,0.258167811
TTC33,5,40716158,0.258194623
CYP2W1,7,983281,0.258245381
PRDX3,10,119168479,0.258394648
METTL24,6,110245977,0.258576481
NPHP1,2,110123908,0.258605152
AEN,15,88626219,0.258605177
SLC15A4,12,128794200,0.258629026
OR2A7,7,144258744,0.258701905
NRF1,7,129671445,0.258709326
C1orf115,1,220690422,0.258736841
ZNF337,20,25675070,0.258749041
NWD1,19,16731205,0.25880669
HOMER2,15,82849722,0.258828366
ENDOV,17,80415195,0.25894607
PGP,16,2213745,0.259281261
ZNF714,19,21098282,0.259395376
PLOD3,7,101206298,0.259422389
CNNM1,10,99329490,0.259547383
C9orf62,9,135343405,0.259565753
GLDN,15,51341765,0.259651072
RTKN2,10,62197946,0.260031004
SMCP,1,152884435,0.260148471
FKBP4,12,2795153,0.260206759
TICAM2;TMED7-TICAM2,5,115580563,0.260245599
NAV1,1,201648708,0.260292686
NFKBIE,6,44260081,0.26032432
CNTD2,19,40223062,0.260466476
RBPMS2,15,64741194,0.260483365
SSFA2,2,181892131,0.260759068
FAM217A,6,4068716,0.260807502
IRF2BPL,14,77025545,0.260853089
MMP1,11,102790433,0.260932945
C1orf123,1,53214712,0.260934153
OSCP1,1,36418182,0.260965598
GALNT8,12,4720777,0.260995899
EIF4G3,1,20807351,0.261010234
PHF2,9,93629972,0.26110845
PLXNB1,3,48404536,0.261151057
OR13C5,9,104598497,0.261199906
LACC1,13,43881017,0.261205078
SOX7,8,10725767,0.261217106
GZMK,5,55024324,0.261313229
EXOC6B,2,72179342,0.261436768
HECTD4,12,112162424,0.26149514
CASP9,1,15493019,0.261514293
NMBR,6,142075697,0.261517949
GCOM1;POLR2M,15,57708740,0.261601155
TM6SF2,19,19264741,0.261629341
NEK10,3,27111300,0.261653812
MAZ,16,29806145,0.261662387
POTEJ,2,130611606,0.261908927
DNAJC5B,8,66051579,0.262185362
CKAP2,13,52455557,0.262272645
KSR2,12,117469701,0.262343731
BCCIP,10,125823567,0.26239877
IPO11,5,62419051,0.262437349
CA1,8,85328579,0.26253391
UBA5,3,132660557,0.262534065
ENTPD1,10,95755766,0.262749141
FRMD1,6,168057114,0.262899486
RASAL1,12,113099936,0.263025063
CD9,12,6200523,0.263044803
PTPDC1,9,94064766,0.263049527
SORBS1,10,95318358,0.263154593
NREP,5,111730980,0.263174438
PYGO1,15,55546042,0.263213503
ROM1,11,62613284,0.263466638
NTRK2,9,84670776,0.263478039
TNS3,7,47278114,0.263523777
TCHHL1,1,152084978,0.263603418
MAD2L1,4,120060168,0.26368734
PEX3,6,143459111,0.263756608
NOP58,2,202275120,0.263799281
ALG6,1,63370995,0.263826978
GPR132,14,105051018,0.263912606
CNTN1,12,40910091,0.263946184
